name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	resection	status_description	hemisphere	lobe	dataset
A1	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A2	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A3	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A4	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A5	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A6	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A7	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A8	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A9	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A10	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A11	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A12	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	temporal	unused
A13	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	temporal	unused
A14	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	temporal	unused
A15	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A16	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A17	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A18	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A19	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	temporal	unused
A20	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A21	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A22	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A23	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A24	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A25	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A26	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A27	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A28	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A29	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A30	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A31	ECOG	µV	0.08	300	1000	not applied	preserved	seizure onset zone	L	temporal	trained
A32	ECOG	µV	0.08	300	1000	not applied	preserved	seizure onset zone	L	temporal	trained
A33	ECOG	µV	0.08	300	1000	not applied	preserved	seizure onset zone	L	temporal	trained
A34	ECOG	µV	0.08	300	1000	not applied	preserved	seizure onset zone	L	temporal	trained
A35	ECOG	µV	0.08	300	1000	not applied	preserved	seizure onset zone	L	temporal	trained
A36	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	temporal	other
A37	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	temporal	other
A38	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	temporal	other
A39	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	temporal	other
A40	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	temporal	other
A41	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	temporal	other
A42	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A43	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	occipital	unused
A44	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A45	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A46	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A47	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A48	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A49	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A50	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	occipital	other
A51	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A52	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A53	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A54	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A55	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
